Merchant_Category,Buyer_Category,Departments,Volume,Revenue,Transaction_Count,Average selling price,date
High Volume,Super Engaged,Home And Garden,24981148,807833.28,491544,50.82,07-09-2016 00:00
High Volume,Guest,"Movies, Music And Games",98063,1815.21,3921,25.01,18-03-2016 00:00
Medium Volume,Getting Engaged,Digital Games And Software,213071574,7896116.19,3674524,57.99,13-06-2016 00:00
High Volume,Guest,Clothing And Shoes,67944,918.63,360,188.73,21-10-2016 00:00
Inactive Merchant,Guest,Clothing And Shoes,5871,87.1,48,122.31,22-11-2016 00:00
Non Merchant,Merchant,Books,636355505,20943956.53,8090043,78.66,03-11-2016 00:00
Low Volume,Medium Engaged,Other,26787,1181.71,1780,15.05,23-05-2016 00:00
New,Guest,Electronics And Computers,169822349,4279227.04,1028844,165.06,24-07-2016 00:00
Low Volume,Getting Engaged,"Movies, Music And Games",61497761,1894569.28,409350,150.23,02-04-2016 00:00
Very Low Volume,Getting Engaged,Digital Games And Software,8698828,341286.07,280941,30.96,03-04-2016 00:00
High Volume,Casual Buyer,"Movies, Music And Games",16308292,561983.53,82322,198.1,04-07-2016 00:00
Inactive Merchant,Low Engaged,Home And Garden,-47,1.53,150,-0.31,20-08-2016 00:00
Unverified Merchant,Very Engaged,Sports And Outdoors,42,2.98,3,13.98,02-10-2016 00:00
Low Volume,Very Engaged,Other,15149,639.49,941,16.1,22-05-2016 00:00
Non Merchant,Guest,Sports And Outdoors,22172505,716951.99,105742,209.68,22-12-2016 00:00
Very High Volume,Merchant,Sports And Outdoors,33061917,886454.6,37927,871.73,06-12-2016 00:00
New,Guest,Sports And Outdoors,38138,392.78,249,153.16,01-02-2016 00:00
Low Volume,Super Engaged,Clothing And Shoes,5394597,201731.52,58064,92.91,05-12-2016 00:00
Medium Volume,Low Engaged,Automotive,3090308,107546.14,77216,40.02,01-12-2016 00:00
Low Volume,One-And-Done,Other,1065,48.78,127,8.39,16-03-2016 00:00
Very Low Volume,Getting Engaged,Home And Garden,562991,22622.45,18619,30.24,17-06-2016 00:00
Very Low Volume,Casual Buyer,Clothing And Shoes,1106627,36819.95,9736,113.66,26-09-2016 00:00
Inactive Merchant,Casual Buyer,"Movies, Music And Games",37360,719.31,569,65.66,09-12-2016 00:00
Inactive Merchant,Casual Buyer,Automotive,-1,0.01,12,-0.08,12-03-2016 00:00
Medium Volume,Very Engaged,Home And Garden,16113081,582901.69,297217,54.21,24-03-2016 00:00
High Volume,Guest,Home And Garden,30714,1455.88,16485,1.86,24-05-2016 00:00
Medium Volume,Guest,"Movies, Music And Games",22181,820.15,5627,3.94,25-02-2016 00:00
Inactive Merchant,Very Engaged,Sports And Outdoors,428,16.6,21,20.39,11-01-2016 00:00
Inactive Merchant,Guest,Home And Garden,480,24.93,287,1.67,09-07-2016 00:00
Very Low Volume,Guest,Electronics And Computers,197,9.68,143,1.37,03-09-2016 00:00
Inactive Merchant,New,Digital Games And Software,21215,806.64,1054,20.13,23-05-2016 00:00
Low Volume,Casual Buyer,Digital Games And Software,81964481,2939630.7,1515397,54.09,21-10-2016 00:00
Very High Volume,Guest,Automotive,3162,74.39,10157,0.31,16-02-2016 00:00
Medium Volume,Getting Engaged,Automotive,2329142,81030.46,56206,41.44,17-08-2016 00:00
Very Low Volume,Medium Engaged,Clothing And Shoes,686890,24054.16,7685,89.38,02-06-2016 00:00
Inactive Merchant,Medium Engaged,Home And Garden,60,15.49,113,0.53,28-08-2016 00:00
Very Low Volume,Super Engaged,"Movies, Music And Games",1297986,44257.79,84634,15.34,06-10-2016 00:00
Medium Volume,Getting Engaged,Sports And Outdoors,49773604,1713887.46,206734,240.76,06-06-2016 00:00
Medium Volume,Guest,Digital Games And Software,561192276,18648740.11,6015088,93.3,25-05-2016 00:00
Unverified Merchant,Very Engaged,Automotive,39,2.04,3,13.15,19-02-2016 00:00
High Volume,Medium Engaged,"Movies, Music And Games",38153979,1330946.49,213017,179.11,24-11-2016 00:00
Low Volume,Super Engaged,Automotive,1108177,41625,45617,24.29,08-02-2016 00:00
Medium Volume,New,"Movies, Music And Games",31398343,1051214.02,175726,178.68,17-12-2016 00:00
Very Low Volume,Casual Buyer,Books,2833037,103693.23,57389,49.37,02-01-2016 00:00
Very High Volume,Low Engaged,Clothing And Shoes,3909513,111710.44,9543,409.67,08-01-2016 00:00
Low Volume,Casual Buyer,Clothing And Shoes,18682310,603479.64,72662,257.11,16-01-2016 00:00
Low Volume,Merchant,"Movies, Music And Games",161235535,4578940.45,972086,165.87,13-06-2016 00:00
Low Volume,Very Engaged,Electronics And Computers,962302,37875.84,23982,40.13,06-03-2016 00:00
New,Guest,Automotive,326,9.03,39,8.36,18-01-2016 00:00
Inactive Merchant,Low Engaged,"Movies, Music And Games",18720,602.64,652,28.71,24-12-2016 00:00
Medium Volume,Super Engaged,Automotive,2262704,71163.71,51182,44.21,14-11-2016 00:00
Unverified Merchant,Medium Engaged,Automotive,289,9.6,4,72.35,11-04-2016 00:00
Inactive Merchant,Very Engaged,Electronics And Computers,38,1.39,13,2.9,14-04-2016 00:00
Medium Volume,One-And-Done,Automotive,124279,4062.89,2554,48.66,11-12-2016 00:00
Non Merchant,Very Engaged,Clothing And Shoes,10569716,363774.3,66996,157.77,27-05-2016 00:00
New,Low Engaged,Digital Games And Software,13563151,488298.59,245829,55.17,19-02-2016 00:00
Low Volume,Guest,Sports And Outdoors,138621,2170.7,1291,107.37,04-06-2016 00:00
Very High Volume,New,Home And Garden,140072025,3239364.32,2209539,63.39,22-09-2016 00:00
Unverified Merchant,Low Engaged,Sports And Outdoors,470,13.93,1,470,06-01-2016 00:00
Very Low Volume,Casual Buyer,Digital Games And Software,5783183,220435.6,168819,34.26,26-04-2016 00:00
Medium Volume,Merchant,Automotive,3793028,64927.63,31924,118.81,02-09-2016 00:00
New,Getting Engaged,Clothing And Shoes,4392586,133939.27,11113,395.27,03-07-2016 00:00
Very High Volume,Super Engaged,Clothing And Shoes,1747653,48846.1,4270,409.29,28-08-2016 00:00
Low Volume,Getting Engaged,Automotive,1347522,47070.91,42813,31.47,25-05-2016 00:00
Unverified Merchant,Guest,Digital Games And Software,442,18.53,11,40.18,11-05-2016 00:00
New,Low Engaged,Automotive,142242,5157.47,4446,31.99,18-02-2016 00:00
High Volume,Very Engaged,Digital Games And Software,103261109,3865963.34,2140187,48.25,01-08-2016 00:00
Medium Volume,New,Sports And Outdoors,21792522,755602.37,92462,235.69,07-06-2016 00:00
New,Super Engaged,Clothing And Shoes,539747,17662.05,2649,203.75,19-05-2016 00:00
Non Merchant,New,Books,245275535,9094665.35,4335586,56.57,24-05-2016 00:00
Unverified Merchant,Medium Engaged,Sports And Outdoors,540,16.26,2,270,08-10-2016 00:00
High Volume,New,Other,142161,5085.72,10242,13.88,12-08-2016 00:00
Inactive Merchant,Guest,"Movies, Music And Games",0,0,257,0,16-10-2016 00:00
Very High Volume,Guest,Home And Garden,11683508,373318.43,324824,35.97,24-04-2016 00:00
Medium Volume,Casual Buyer,"Movies, Music And Games",43133706,1397046.08,186251,231.59,25-09-2016 00:00
Medium Volume,Medium Engaged,Automotive,3534109,123343.27,88817,39.79,05-04-2016 00:00
Unverified Merchant,Medium Engaged,Books,21751,1041.85,1171,18.57,14-01-2016 00:00
Inactive Merchant,Guest,Electronics And Computers,0,0,32407,0,08-01-2016 00:00
Low Volume,Merchant,Books,214180424,8456613.15,5947305,36.01,12-09-2016 00:00
Medium Volume,Guest,Clothing And Shoes,118101,1903.2,760,155.4,27-11-2016 00:00
Low Volume,New,Digital Games And Software,71275782,2653777.14,1355157,52.6,01-12-2016 00:00
Non Merchant,Guest,"Movies, Music And Games",24565,840.82,8913,2.76,01-06-2016 00:00
Medium Volume,Getting Engaged,Electronics And Computers,9061886,334473.84,181199,50.01,13-11-2016 00:00
Very High Volume,Guest,Electronics And Computers,3116908206,77549652.93,26687723,116.79,24-12-2016 00:00
New,Merchant,Automotive,106330,2491.12,1303,81.6,04-05-2016 00:00
High Volume,Casual Buyer,Books,291682360,9788695.84,3796802,76.82,17-04-2016 00:00
Non Merchant,Medium Engaged,Books,690358496,25548780.33,12023971,57.42,14-04-2016 00:00
Low Volume,Merchant,Automotive,1635534,31790.29,24055,67.99,02-08-2016 00:00
High Volume,Guest,Electronics And Computers,1293304774,35370754.75,14819598,87.27,23-03-2016 00:00
Inactive Merchant,Super Engaged,Home And Garden,-16,0,24,-0.67,03-05-2016 00:00
New,Merchant,Clothing And Shoes,7083757,199619.87,10503,674.45,08-01-2016 00:00
New,Low Engaged,Sports And Outdoors,3464509,110331.14,10175,340.49,14-09-2016 00:00
Very High Volume,Casual Buyer,"Movies, Music And Games",3207349,103371.92,22093,145.17,12-12-2016 00:00
Unverified Merchant,Very Engaged,"Movies, Music And Games",1130,25.23,19,59.47,24-08-2016 00:00
High Volume,New,"Movies, Music And Games",13350850,500823.17,87254,153.01,19-02-2016 00:00
High Volume,One-And-Done,Automotive,114996,3340.48,2269,50.68,17-02-2016 00:00
Non Merchant,One-And-Done,Automotive,373245,8905.94,4290,87,21-03-2016 00:00
Very High Volume,Very Engaged,Home And Garden,332007442,7142547.98,5091837,65.2,03-07-2016 00:00
Low Volume,Guest,Automotive,2648,105.02,440,6.02,19-10-2016 00:00
Inactive Merchant,Casual Buyer,Electronics And Computers,-99,0.01,24,-4.14,14-01-2016 00:00
Very High Volume,Getting Engaged,Electronics And Computers,52948826,1509970.72,999609,52.97,05-11-2016 00:00
Low Volume,Guest,"Movies, Music And Games",37007,1346.97,9601,3.85,10-04-2016 00:00
Low Volume,One-And-Done,Books,20038813,777215.19,483848,41.42,28-05-2016 00:00
Medium Volume,Merchant,"Movies, Music And Games",429565497,10648873.53,1090261,394,26-06-2016 00:00
Low Volume,Guest,Digital Games And Software,344006,9648.41,55652,6.18,23-07-2016 00:00
Very Low Volume,Super Engaged,Digital Games And Software,1572011,71075.47,108040,14.55,11-12-2016 00:00
Very Low Volume,Guest,Grocery,2824444,99278.23,38906,72.6,15-06-2016 00:00
Medium Volume,Very Engaged,Automotive,2844681,95624.57,70499,40.35,08-05-2016 00:00
Very Low Volume,Guest,Sports And Outdoors,15723,262.04,280,56.15,07-02-2016 00:00
Inactive Merchant,Very Engaged,Automotive,14,1,6,2.3,25-03-2016 00:00
High Volume,Very Engaged,Sports And Outdoors,26429465,915361.17,117973,224.03,04-10-2016 00:00
Medium Volume,Guest,Books,992709,29546.13,57811,17.17,04-03-2016 00:00
Non Merchant,One-And-Done,Books,67364222,2246786.77,643468,104.69,15-03-2016 00:00
New,Super Engaged,Home And Garden,1886654,48692.7,31631,59.65,11-08-2016 00:00
New,Medium Engaged,Clothing And Shoes,1998891,62623.35,6429,310.92,04-07-2016 00:00
New,Very Engaged,Electronics And Computers,292786,9555,6644,44.07,12-09-2016 00:00
Medium Volume,Guest,Electronics And Computers,2789,238.24,1622,1.72,15-04-2016 00:00
High Volume,Merchant,Automotive,1596650,35001.4,16741,95.37,15-05-2016 00:00
Very High Volume,New,Other,5015780,174002.94,330626,15.17,28-05-2016 00:00
High Volume,Casual Buyer,Electronics And Computers,13784144,462480.96,237656,58,03-02-2016 00:00
Very High Volume,One-And-Done,Books,45136014,1201293.13,517929,87.15,26-03-2016 00:00
High Volume,Guest,Automotive,6332,176.67,526,12.04,10-11-2016 00:00
Inactive Merchant,Getting Engaged,Books,23788,399.29,571,41.66,23-12-2016 00:00
Very High Volume,Guest,Books,60233349,1548620.22,749343,80.38,02-10-2016 00:00
High Volume,Super Engaged,Books,455540835,16190419.15,8244380,55.25,27-04-2016 00:00
Unverified Merchant,Low Engaged,Books,13380,631.86,761,17.58,05-06-2016 00:00
Very Low Volume,Getting Engaged,Clothing And Shoes,1306625,44585.93,13284,98.36,23-02-2016 00:00
Very Low Volume,Guest,Home And Garden,835,41,452,1.85,12-04-2016 00:00
Inactive Merchant,New,Home And Garden,118,5.17,167,0.71,17-07-2016 00:00
Non Merchant,Super Engaged,Digital Games And Software,12932226,552720.59,407983,31.7,22-01-2016 00:00
Medium Volume,Very Engaged,Other,109638,3255.6,6813,16.09,09-05-2016 00:00
High Volume,Getting Engaged,"Movies, Music And Games",33980604,1154189.5,179501,189.31,01-03-2016 00:00
Unverified Merchant,Guest,Sports And Outdoors,720,21.48,2,360,28-07-2016 00:00
Medium Volume,Guest,Automotive,4995,172.61,594,8.41,18-08-2016 00:00
New,Casual Buyer,Automotive,43006,1488.14,1155,37.23,18-12-2016 00:00
Very Low Volume,One-And-Done,Books,838005,29404.92,13951,60.07,04-04-2016 00:00
Non Merchant,Guest,Digital Games And Software,128126,6105.8,14646,8.75,04-08-2016 00:00
New,Guest,Home And Garden,4025,156.17,1423,2.83,04-03-2016 00:00
Inactive Merchant,New,Clothing And Shoes,27591,240.02,66,418.04,02-01-2016 00:00
Inactive Merchant,Very Engaged,Books,15892,685.48,571,27.83,05-04-2016 00:00
Inactive Merchant,Very Engaged,"Movies, Music And Games",4108,186.01,264,15.56,27-04-2016 00:00
High Volume,One-And-Done,Digital Games And Software,29175968,1001166.47,424578,68.72,12-07-2016 00:00
Low Volume,Getting Engaged,Clothing And Shoes,24241242,794679.34,117353,206.57,21-11-2016 00:00
Inactive Merchant,Guest,Sports And Outdoors,11488,137.56,73,157.37,03-11-2016 00:00
Low Volume,Casual Buyer,Sports And Outdoors,24145310,787288.51,95359,253.2,19-10-2016 00:00
Non Merchant,Merchant,"Toys, Kids And Baby",284633654,1240507.02,5881375,48.4,27-05-2016 00:00
Medium Volume,Super Engaged,Electronics And Computers,2492373,94692.63,54400,45.82,01-02-2016 00:00
Very High Volume,Guest,Books,716870,15949.75,43145,16.62,07-02-2016 00:00
Unverified Merchant,Guest,Books,407,17.44,8,50.83,15-11-2016 00:00
Very Low Volume,Medium Engaged,Home And Garden,361894,14677.98,12403,29.18,03-03-2016 00:00
Very High Volume,New,Electronics And Computers,15647788,495097.96,377580,41.44,04-06-2016 00:00
Very Low Volume,Merchant,"Movies, Music And Games",11917008,359006.2,172694,69.01,15-01-2016 00:00
Unverified Merchant,Medium Engaged,Clothing And Shoes,340,10.16,1,340,06-01-2016 00:00
Unverified Merchant,New,"Movies, Music And Games",127,6.43,7,18.14,14-10-2016 00:00
High Volume,Medium Engaged,Automotive,2917616,94501.2,65826,44.32,13-12-2016 00:00
Very Low Volume,Super Engaged,Automotive,39382,1394.36,5564,7.08,01-08-2016 00:00
Inactive Merchant,Low Engaged,Clothing And Shoes,3232,36.02,24,134.65,22-07-2016 00:00
Very Low Volume,New,Other,70,5.44,8,8.73,06-07-2016 00:00
New,Low Engaged,"Movies, Music And Games",7906788,216960.93,29305,269.81,07-06-2016 00:00
Non Merchant,One-And-Done,"Movies, Music And Games",48646798,1165306.21,304289,159.87,09-03-2016 00:00
High Volume,Guest,Digital Games And Software,315906,8886.78,79806,3.96,15-05-2016 00:00
New,Very Engaged,Digital Games And Software,4942832,189311.33,104872,47.13,02-03-2016 00:00
Medium Volume,Super Engaged,Sports And Outdoors,27385335,1026038.89,180137,152.03,20-10-2016 00:00
Low Volume,Guest,Other,20,0.68,30,0.67,08-10-2016 00:00
Very High Volume,Low Engaged,Home And Garden,681291165,14173138.18,9687101,70.33,10-11-2016 00:00
Very High Volume,Low Engaged,Automotive,2037029,63734.1,191399,10.64,14-08-2016 00:00
High Volume,Guest,Grocery,1203898303,32970496.46,2938319,409.72,16-09-2016 00:00
Non Merchant,Very Engaged,Sports And Outdoors,28968137,993919.03,201524,143.75,03-01-2016 00:00
New,One-And-Done,Electronics And Computers,59807,2074.17,1152,51.92,13-05-2016 00:00
Low Volume,Casual Buyer,"Movies, Music And Games",34501616,1070150.8,199513,172.93,14-03-2016 00:00
Very High Volume,Casual Buyer,Sports And Outdoors,3858890,119111.4,13453,286.84,21-04-2016 00:00
Medium Volume,Very Engaged,Books,607791675,24648859.95,13930687,43.63,08-09-2016 00:00
Inactive Merchant,Casual Buyer,Home And Garden,-2,0,77,-0.03,26-11-2016 00:00
Very High Volume,Guest,Automotive,23,0.91,5,4.6,26-09-2016 00:00
Medium Volume,Very Engaged,Sports And Outdoors,33924220,1243123.54,200068,169.56,13-01-2016 00:00
New,Guest,Digital Games And Software,81201,2479.16,6361,12.77,12-12-2016 00:00
Very High Volume,Medium Engaged,Clothing And Shoes,4078325,119192.64,9573,426.02,18-08-2016 00:00
New,Very Engaged,Sports And Outdoors,1445342,48332.77,6410,225.48,12-08-2016 00:00
Very Low Volume,Guest,"Movies, Music And Games",63164,659.08,1762,35.85,17-10-2016 00:00
Very Low Volume,New,Clothing And Shoes,926426,31177.08,8062,114.91,13-06-2016 00:00
Inactive Merchant,One-And-Done,Digital Games And Software,7337,277.08,468,15.68,06-05-2016 00:00
Medium Volume,Getting Engaged,Books,513360264,19876633.47,9881010,51.95,11-01-2016 00:00
Non Merchant,Medium Engaged,"Movies, Music And Games",283726317,7422201.78,2204245,128.72,08-10-2016 00:00
Very High Volume,New,Digital Games And Software,68615343,2615943.77,1810195,37.9,26-01-2016 00:00
Low Volume,One-And-Done,Automotive,59537,1901.55,1791,33.24,02-05-2016 00:00
Very High Volume,Casual Buyer,Books,161828069,4398967.58,2248179,71.98,17-08-2016 00:00
Unverified Merchant,New,Automotive,35,1.92,3,11.65,25-06-2016 00:00
Very Low Volume,One-And-Done,Digital Games And Software,2138581,79910.22,58529,36.54,08-10-2016 00:00
Very High Volume,Casual Buyer,Electronics And Computers,21128566,607173.29,383568,55.08,04-03-2016 00:00
Inactive Merchant,Medium Engaged,Clothing And Shoes,3747,90.07,19,197.22,22-04-2016 00:00
Low Volume,Super Engaged,Home And Garden,2357904,89705.81,50407,46.78,09-04-2016 00:00
Medium Volume,Medium Engaged,"Movies, Music And Games",97760910,3088195.54,505849,193.26,27-09-2016 00:00
Very Low Volume,Low Engaged,Sports And Outdoors,1309315,46004.46,14141,92.59,02-12-2016 00:00
Non Merchant,Guest,Clothing And Shoes,108135,1426.81,939,115.16,19-04-2016 00:00
Non Merchant,One-And-Done,Clothing And Shoes,5375820,167508.31,20763,258.91,12-07-2016 00:00
Low Volume,New,Automotive,697565,28144.03,30732,22.7,06-03-2016 00:00
Non Merchant,Very Engaged,Digital Games And Software,16015649,665609.97,457469,35.01,19-04-2016 00:00
Non Merchant,Merchant,Sports And Outdoors,73042479,2248385.06,288025,253.6,26-06-2016 00:00
Medium Volume,One-And-Done,"Movies, Music And Games",12548730,406467.67,55404,226.5,23-12-2016 00:00
Very Low Volume,Low Engaged,Automotive,112707,3155.2,2770,40.69,19-06-2016 00:00
Low Volume,Casual Buyer,Electronics And Computers,921302,35978.41,21168,43.52,23-01-2016 00:00
New,Guest,Clothing And Shoes,4744039,146212.69,14175,334.68,12-12-2016 00:00
Inactive Merchant,Getting Engaged,Clothing And Shoes,4218,100.19,35,120.52,19-10-2016 00:00
New,Casual Buyer,Electronics And Computers,286590,9067.63,5294,54.13,19-03-2016 00:00
Very High Volume,Very Engaged,Electronics And Computers,25826992,774608.29,560431,46.08,27-04-2016 00:00
Unverified Merchant,Super Engaged,Books,17115,811.76,971,17.63,18-08-2016 00:00
Non Merchant,Low Engaged,"Movies, Music And Games",317864166,7801117.43,2201372,144.39,06-05-2016 00:00
New,Medium Engaged,Automotive,167636,5824.12,4895,34.25,02-08-2016 00:00
New,Getting Engaged,Sports And Outdoors,4574308,142797.19,12449,367.44,02-02-2016 00:00
Unverified Merchant,Super Engaged,Digital Games And Software,893,38.54,22,40.6,20-04-2016 00:00
New,Very Engaged,Books,18963460,767959.34,524192,36.18,01-04-2016 00:00
New,Very Engaged,"Movies, Music And Games",3720814,107020.29,20406,182.34,16-09-2016 00:00
